eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
88.89,-1.149999976158142,75.19,-1.9600000381469727,985.0,0.0034325607120990753,0.02899169921875,2.646824359893799,-0.0027116669807583094,0.12583845853805542,0.31108570098876953,11.0,2816.0,186.99708073500005,180224.0,76.04,-1.899999976158142
86.63,-2.6500000953674316,80.47,-1.649999976158142,989.0,0.003414137288928032,0.02547200582921505,2.620274305343628,-0.0025477928575128317,0.16178354620933533,0.31574374437332153,12.0,3072.0,203.6048797709991,196608.0,75.11,-2.130000114440918
76.81,-1.2799999713897705,74.72,-1.559999942779541,990.0,0.003061294788494706,0.01802571676671505,2.628664255142212,-0.003735091770067811,0.1043081283569336,0.37886500358581543,13.0,3328.0,220.19161500100017,212992.0,76.57,-1.590000033378601
80.48,-1.2100000381469727,73.2,-2.1500000953674316,992.0,0.003155771642923355,0.0228271484375,2.6414973735809326,-0.004156785551458597,0.10813242197036743,0.446194052696228,14.0,3584.0,236.73423482100043,229376.0,78.2,-1.4800000190734863
81.57,-0.6600000262260437,82.95,-1.8200000524520874,978.0,0.00384614453651011,0.02901204489171505,2.647038698196411,-0.005208991002291441,0.09068629890680313,0.4448471665382385,15.0,3840.0,253.53501270599918,245760.0,77.82,-1.909999966621399
84.1,-1.649999976158142,76.39,-1.3200000524520874,986.0,0.0038923146203160286,0.0362752266228199,2.628415584564209,-0.0064676920883357525,0.10625457018613815,0.48586195707321167,16.0,4096.0,270.1731818299995,262144.0,84.32,-1.2899999618530273
82.94,-0.7300000190734863,81.62,-1.340000033378601,982.0,0.0043840776197612286,0.04644775390625,2.619798183441162,-0.0072154817171394825,0.10271839052438736,0.49901801347732544,17.0,4352.0,286.8823615399997,278528.0,77.28,-1.7699999809265137
80.01,-0.75,75.85,-0.8399999737739563,986.0,0.005637016613036394,0.06182861328125,2.6105148792266846,-0.009095522575080395,0.09433688968420029,0.5413179993629456,18.0,4608.0,303.5344068199993,294912.0,77.15,-1.6299999952316284
82.61,-1.100000023841858,78.28,-1.9600000381469727,990.0,0.005042603239417076,0.0556640625,2.6162750720977783,-0.009496649727225304,0.11100763827562332,0.4675365686416626,19.0,4864.0,320.1076441389996,311296.0,86.16,-2.1700000762939453
81.51,-0.9900000095367432,80.05,-1.090000033378601,987.0,0.005491871852427721,0.0626017227768898,2.6092236042022705,-0.01042196061462164,0.0931485965847969,0.47287535667419434,20.0,5120.0,336.7438881050002,327680.0,77.42,-1.2999999523162842
80.75,-0.009999999776482582,77.99,-1.1200000047683716,989.0,0.0061107538640499115,0.06756591796875,2.603532314300537,-0.00901962909847498,0.07875970005989075,0.49555957317352295,21.0,5376.0,353.3406160989998,344064.0,79.88,-1.1799999475479126
79.05,-0.6200000047683716,77.94,-1.1200000047683716,992.0,0.005324007943272591,0.06256103515625,2.5803945064544678,-0.01212890911847353,0.08048621565103531,0.4856380224227905,22.0,5632.0,369.8923369050008,360448.0,80.48,-1.0199999809265137
84.38,-0.7200000286102295,74.78,-0.9399999976158142,989.0,0.006993465591222048,0.0871175155043602,2.5918173789978027,-0.01168195903301239,0.0814075917005539,0.4948863387107849,23.0,5888.0,386.4906808779997,376832.0,81.04,-0.5899999737739563
81.64,-0.44999998807907104,74.86,-1.0700000524520874,984.0,0.006820941809564829,0.08636474609375,2.570571184158325,-0.012592357583343983,0.09496339410543442,0.4638500213623047,24.0,6144.0,403.17578783799945,393216.0,78.92,-1.2599999904632568
85.61,0.05000000074505806,78.14,-1.6799999475479126,988.0,0.006931297015398741,0.0904134139418602,2.5734689235687256,-0.013200039975345135,0.07342661172151566,0.4651877284049988,25.0,6400.0,419.7881263149993,409600.0,80.26,-1.399999976158142
78.98,-0.14000000059604645,80.67,-1.100000023841858,988.0,0.007956832647323608,0.1041056290268898,2.5611813068389893,-0.01436177920550108,0.08832544833421707,0.43674802780151367,26.0,6656.0,436.39752772300017,425984.0,77.08,-1.4800000190734863
83.93,-0.12999999523162842,82.35,-1.2100000381469727,983.0,0.00916934572160244,0.1221720352768898,2.554046869277954,-0.014062578789889812,0.08594256639480591,0.4038317799568176,27.0,6912.0,453.08590113399987,442368.0,76.23,-0.8899999856948853
85.27,0.10000000149011612,79.76,-1.309999942779541,991.0,0.009485342539846897,0.1277669221162796,2.5472700595855713,-0.016050320118665695,0.07040275633335114,0.474667489528656,28.0,7168.0,469.6418184489994,458752.0,82.6,-1.0099999904632568
86.19,-0.10000000149011612,79.85,-0.9300000071525574,982.0,0.009770946577191353,0.1341959685087204,2.5159261226654053,-0.016516633331775665,0.07731156051158905,0.5129226446151733,29.0,7424.0,486.34904346700023,475136.0,83.62,-1.590000033378601
84.47,-0.07000000029802322,79.86,-0.9800000190734863,988.0,0.00972991343587637,0.1303914338350296,2.500471353530884,-0.015648050233721733,0.07458250969648361,0.5090591609477997,30.0,7680.0,502.95705859400005,491520.0,76.52,-0.6600000262260437
81.02,0.27000001072883606,74.15,-0.5600000023841858,985.0,0.009576213546097279,0.1302286833524704,2.511291980743408,-0.015409623272716999,0.07497156411409378,0.4903210401535034,31.0,7936.0,519.6265580899999,507904.0,78.84,-0.8999999761581421
81.9,0.27000001072883606,79.47,-0.7099999785423279,989.0,0.009224391542375088,0.1247965469956398,2.526318073272705,-0.017410868778824806,0.08430024981498718,0.5073078274726868,32.0,8192.0,536.2296391500004,524288.0,77.08,-1.1200000047683716
