eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
80.55,-1.5,77.36,-1.5800000429153442,997.0,0.0054654572159051895,0.05584716796875,2.597585916519165,-0.005209560040384531,0.09629670530557632,0.42569780349731445,11.0,2816.0,183.19427258300038,180224.0,76.16,-2.3299999237060547
77.49,-0.7099999785423279,74.39,-1.840000033378601,991.0,0.0037184972316026688,0.02711995504796505,2.6102993488311768,-0.004820332396775484,0.09837397933006287,0.3972172737121582,12.0,3072.0,199.7654931269999,196608.0,79.83,-1.659999966621399
76.62,-1.4700000286102295,77.8,-1.75,997.0,0.004102767910808325,0.03314208984375,2.621725082397461,-0.004890682175755501,0.0968460962176323,0.489560604095459,13.0,3328.0,216.23127583899986,212992.0,77.01,-0.7799999713897705
84.41,-0.5,74.27,-1.3200000524520874,988.0,0.005709697958081961,0.0587361641228199,2.6002485752105713,-0.005461100488901138,0.08788087964057922,0.4887099862098694,14.0,3584.0,232.8483471569998,229376.0,76.89,-1.659999966621399
77.7,-0.75,76.83,-1.3200000524520874,994.0,0.005462985020130873,0.0523274727165699,2.585408926010132,-0.006813265848904848,0.09956395626068115,0.5160288512706757,15.0,3840.0,249.37478508000004,245760.0,75.11,-1.100000023841858
80.01,-1.0399999618530273,71.19,-1.1399999856948853,1001.0,0.005256772041320801,0.0566813163459301,2.5853278636932373,-0.0085465582087636,0.10953927785158157,0.545550674200058,16.0,4096.0,265.76840193099997,262144.0,77.94,-1.809999942779541
78.59,-1.0399999618530273,77.4,-1.5299999713897705,995.0,0.005647372454404831,0.0630696639418602,2.583753824234009,-0.009505781345069408,0.08825298398733139,0.595037043094635,17.0,4352.0,282.27054276800027,278528.0,73.55,-1.4299999475479126
82.4,-0.7699999809265137,76.62,-1.5199999809265137,990.0,0.00631661107763648,0.074462890625,2.5653016567230225,-0.009875251911580563,0.08845505863428116,0.5760476291179657,18.0,4608.0,298.85116086700054,294912.0,74.08,-1.1699999570846558
79.08,-0.44999998807907104,76.65,-1.8799999952316284,989.0,0.006132560316473246,0.0730183944106102,2.569467306137085,-0.010172083042562008,0.09264831990003586,0.6173810362815857,19.0,4864.0,315.45915036099996,311296.0,75.44,-0.5199999809265137
81.46,-0.5400000214576721,75.4,-1.0,996.0,0.006761282682418823,0.0829264298081398,2.552863836288452,-0.011892043054103851,0.08951952308416367,0.6216211915016174,20.0,5120.0,331.94473893400027,327680.0,75.74,-1.0399999618530273
78.84,-0.47999998927116394,75.13,-1.0499999523162842,995.0,0.007071496453136206,0.0912068709731102,2.5492775440216064,-0.013972370885312557,0.09158546477556229,0.5897558629512787,21.0,5376.0,348.4414783860002,344064.0,78.98,-1.2200000286102295
79.78,-0.6600000262260437,75.28,-1.3300000429153442,988.0,0.007013026624917984,0.0870157852768898,2.5390408039093018,-0.012155380100011826,0.09919530153274536,0.6140452325344086,22.0,5632.0,365.05708001400035,360448.0,77.62,-1.2599999904632568
