eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,test_eplenmean,test_eprewmean
82.99,-2.2300000190734863,88.85,-3.0999999046325684,627.0,0.0006939705344848335,0.0001220703125,2.707379102706909,-0.000899311329703778,0.4841082990169525,-0.014410853385925293,1.0,256.0,26.114245679999954,16384.0,83.42,-2.0299999713897705
85.94,-2.5899999141693115,80.74,-2.5999999046325684,977.0,0.0008683193591423333,0.0,2.702892541885376,-0.0006073485710658133,0.2117634415626526,0.012911856174468994,2.0,512.0,42.98617698099997,32768.0,81.83,-3.299999952316284
82.66,-1.9500000476837158,82.25,-2.619999885559082,994.0,0.0006799665279686451,0.0,2.7004740238189697,-0.0003929740050807595,0.22031117975711823,0.04215604066848755,3.0,768.0,59.50076950299996,49152.0,87.0,-2.359999895095825
86.27,-1.9600000381469727,82.65,-2.569999933242798,982.0,0.0004730966466013342,2.0345052689663135e-05,2.700559377670288,-0.0008040287648327649,0.18291521072387695,0.07075083255767822,4.0,1024.0,76.22224462699995,65536.0,88.28,-2.369999885559082
89.23,-2.819999933242798,80.0,-2.2200000286102295,981.0,0.0028136756736785173,0.012837727554142475,2.6911919116973877,-0.0018391264602541924,0.20188210904598236,0.07826948165893555,5.0,1280.0,92.95618844399996,81920.0,83.84,-1.9900000095367432
86.1,-1.909999966621399,81.09,-2.380000114440918,975.0,0.004534324165433645,0.02213541604578495,2.6729280948638916,-0.002764803357422352,0.15888766944408417,0.12214922904968262,6.0,1536.0,109.79209892499995,98304.0,84.45,-2.569999933242798
82.93,-1.899999976158142,79.3,-2.9100000858306885,978.0,0.0024365580175071955,0.013631184585392475,2.6691057682037354,-0.002045513829216361,0.1908869594335556,0.1920410394668579,7.0,1792.0,126.584325858,114688.0,76.47,-1.690000057220459
84.06,-2.25,84.36,-2.119999885559082,966.0,0.003510591806843877,0.01873779296875,2.6667470932006836,-0.0027607895899564028,0.14473645389080048,0.252535879611969,8.0,2048.0,143.580713474,131072.0,79.16,-1.4800000190734863
83.21,-1.5800000429153442,80.88,-1.9700000286102295,971.0,0.003768032183870673,0.02288818359375,2.6618635654449463,-0.0027660448104143143,0.16033639013767242,0.31805741786956787,9.0,2304.0,160.49207216099995,147456.0,81.4,-1.8600000143051147
81.11,-1.0499999523162842,79.01,-1.3600000143051147,968.0,0.0030405845027416945,0.01780191995203495,2.6508219242095947,-0.002813643543049693,0.12889906764030457,0.3303607106208801,10.0,2560.0,177.458162776,163840.0,76.5,-1.6299999952316284
82.37,-1.809999942779541,75.64,-1.649999976158142,970.0,0.005501963663846254,0.0530192069709301,2.6349706649780273,-0.005073924548923969,0.11601188778877258,0.4150508642196655,11.0,2816.0,194.376438894,180224.0,77.5,-1.7300000190734863
77.56,-1.5499999523162842,78.3,-1.1299999952316284,969.0,0.0055780247785151005,0.04669189453125,2.6199169158935547,-0.005594222340732813,0.11012034863233566,0.469046950340271,12.0,3072.0,211.318723379,196608.0,76.37,-1.4199999570846558
80.6,-1.659999966621399,73.33,-1.8300000429153442,972.0,0.003520039841532707,0.02915445901453495,2.621189832687378,-0.005724465474486351,0.12379034608602524,0.5240395665168762,13.0,3328.0,228.19876280399995,212992.0,76.1,-2.049999952316284
84.87,-1.559999942779541,76.02,-1.25,962.0,0.004598807543516159,0.035400390625,2.6053497791290283,-0.004347845446318388,0.15169215202331543,0.4899599552154541,14.0,3584.0,245.29311459299998,229376.0,77.52,-1.7699999809265137
80.66,-1.5499999523162842,76.98,-1.4900000095367432,969.0,0.0039703319780528545,0.0389811210334301,2.6095917224884033,-0.007260361220687628,0.12154063582420349,0.5383731126785278,15.0,3840.0,262.244842623,245760.0,80.81,-1.600000023841858
79.56,-0.9700000286102295,76.76,-1.7200000286102295,967.0,0.004176388494670391,0.0395304374396801,2.585008144378662,-0.006748999934643507,0.13113996386528015,0.5220766067504883,16.0,4096.0,279.225789774,262144.0,76.83,-1.4199999570846558
79.51,-0.9599999785423279,78.27,-1.2699999809265137,977.0,0.004790312610566616,0.043212890625,2.570725917816162,-0.009062747471034527,0.10806050151586533,0.5464570820331573,17.0,4352.0,296.03439735,278528.0,77.14,-1.9700000286102295
81.07,-1.3799999952316284,79.18,-1.0399999618530273,969.0,0.004423150327056646,0.0390421561896801,2.5871167182922363,-0.007364310789853334,0.11594470590353012,0.5926937162876129,18.0,4608.0,312.9670457209999,294912.0,72.98,-0.8100000023841858
